iter	Passed	Remaining
436	2340	337
437	2345	332
438	2350	326
439	2356	321
440	2361	315
441	2366	310
442	2371	305
443	2376	299
444	2380	294
445	2385	288
446	2391	283
447	2396	278
448	2401	272
449	2406	267
450	2411	262
451	2417	256
452	2421	251
453	2425	245
454	2430	240
455	2435	235
456	2440	229
457	2445	224
458	2450	218
459	2455	213
460	2460	208
461	2465	202
462	2470	197
463	2475	192
464	2481	186
465	2486	181
466	2490	176
467	2495	170
468	2499	165
469	2504	159
470	2509	154
471	2514	149
472	2518	143
473	2523	138
474	2528	133
475	2534	127
476	2539	122
477	2546	117
478	2550	111
479	2556	106
480	2561	101
481	2565	95
482	2570	90
483	2576	85
484	2581	79
485	2586	74
486	2591	69
487	2596	63
488	2601	58
489	2606	53
490	2611	47
491	2621	42
492	2627	37
493	2631	31
494	2636	26
495	2641	21
496	2645	15
497	2651	10
498	2657	5
499	2662	0
